unique_session_id,sessionQualityDim,transaction_revenue,checkout_progress
82583396457095297521499187904,90,,3
96334667724552016561499576122,79,,3
17113683097965803971501354680,81,,3
11406410133057540621501094186,86,,3
70930879036923742961501622468,85,,3
88012309787051238661501195638,85,,3
25985855527575274491500595876,90,,3
25666870388348253471499575821,67,,3
6908473663929159291500778093,70,,3
97076855886480789211500154259,75,,3
25714229026051011821499289682,88,,3
35681407017623366871500340939,61,,3
44034687297919638721499706715,71,,3
97172605421804402701499538203,87,,3
16616911788905976891501125270,71,,3
70096616888119959201499962292,94,,3
60526958981638682581501026186,63,,3
50584779085878653821499643259,94,,3
92279105513493566651499983954,91,,3
51346291058916591611500420339,73,,3
38361144160632080121500128730,71,,3
71004342521980178891500510008,74,,3
40642162802389919191500669523,65,,3
45201859472019307101501556238,74,,3
41980385861462042441501010244,81,,3
37846089153911763061499712502,85,,3
82087971765886253791499983855,72,,3
34228810362741934241499571430,71,,3
96810606873787846291500576617,73,,3
50751903364607142441500422530,81,,3
67027338499593242281501625177,86,,3
53305191350681146021500646480,76,,3
11938325374211786961499476557,71,,3
15685226143369712431500918267,71,,3
18739281119334995031500182394,85,,3
23771265249872329451499194250,71,,3
63864819624763085001500410569,65,,3
45337161109873136511500934381,82,,3
20426030759677316811501530810,66,,3
7114159853575874461500823768,71,,3
42554439341483187841499370117,77,,3
3690318050954791121501641135,69,,3
89859509513264800211499972723,94,,3
26465916413616917031499784480,67,,3
78255396780582268821499909214,67,,3
04947759676666193661499557327,67,,3
86219001338149073991499724456,83,,3
53523459112320219681500649096,95,,3
96227970532607621931500335209,67,,3
7068754106456882191499807946,69,,3
00109449181376845801501093164,80,,3
50987541298444311631500672278,77,,3
82934943022695734871501507398,77,,3
54238017282864007211500852685,71,,3
92686302690415698971499846902,67,,3
37652864311002639521500157402,65,,3
03794327473308848671500050239,74,,3
63388232568480549101500672871,65,,3
03330916081038668121500346467,82,,3
17277807449163579531500931468,81,,3
92768693734565376061500132962,65,,3
40443134264972936831501508750,68,,3
03259632278047316021499814940,67,,3
11908052047873350031500302510,63,,3
63935411941335416641501343708,71,,3
25375429536990769101501461148,85,,3
1923843657522218941501122617,68,,3
41789487938640371031499715450,91,,3
62934984427716373561500078320,79,,3
81070989865449476931500407863,74,,3
81544093213792783171500307739,77,,3
30545237999552300861500693181,94,,3
61438206847559011331500332284,79,,3
46312650167616597331500957698,67,,3
13157727866606061041500075077,80,,3
53562113429219403801500663267,73,,3
99427861779127253091500359363,86,,3
97564445124052779141499716883,74,,3
79358820112959310621501501234,76,,3
21141881594844002871499897221,78,,3
74812778865224590761501361019,62,,3
26356039967048715811501126866,78,,3
51888992760331801651501517664,71,,3
13710786877993729531501097438,89,,3
37263473309483136591499375521,71,,3
85257902605861207041501560082,79,,3
58477714798399596171500158380,72,,3
90125057038279304961499804157,99,,3
37819696552590178311500478984,84,,3
36564681269605435521501374857,79,,3
16722731141536096071501459978,84,,3
57482834337239568991500248209,62,,3
90557560612607972081500329021,85,,3
51718546762456650351499448091,82,,3
36284518883510857711499975864,83,,3
90457521568899159711499650069,68,,3
98252349784880986991500344716,78,,3
65791331857761211991499998821,78,,3
29150468046324799341499690420,67,,3
07545176369523311931500935220,93,,3
98618996647046744581499271662,94,,3
45316716516980639061501532205,67,,3
0250486955999323391499720591,76,,3
52907496953808137671500033124,80,,3
54653510720699261391500922866,63,,3
0651700244930180801500681199,93,,3
09818646161523655911499712298,87,,3
40646786655356680051500325059,76,,3
56485302494107452621500664713,65,,3
34400555591533927441501024748,71,,3
67942355545989675521501195891,72,,3
06173190927655409721499658661,88,,3
55206948966504225671499227233,92,,3
90557560612607972081501076878,80,,3
61810276968865842461500473645,79,,3
11290689031852584651500651131,73,,3
17415462474929013711501444641,84,,3
48356134678077671361501607594,91,,3
33512325305606003091499389526,92,,3
7310072314282351631501021097,66,,3
9514069465038174431500331302,73,,3
72006215080066553681500644518,92,,3
40686478515819537511499702110,87,,3
45265303363782099531500326875,90,,3
58049527631128220901501176712,78,,3
10910947866004456841499388452,86,,3
10255991294783912181501102720,73,,3
23709273231162117901501106539,74,,3
83254383719218439861501035569,81,,3
3608594000359047171500759352,75,,3
42959069143840402711500236319,77,,3
99265802913803254581499348175,89,,3
78530612769410850381501561836,70,,3
06477019405447238911500086801,69,,3
88147146904465647891500852820,73,,3
04158720481523060321500338528,80,,3
40581920501499826891500427114,96,,3
33101235347256753141500061679,70,,3
22922075275758989201499374165,72,,3
72719552521193408711500980347,63,,3
70543987094991530831500742274,75,,3
13969918176004932631500746985,62,,3
18549989415925172191499793232,66,,3
75946150758783892471499376211,80,,3
74509031778729814301500916090,68,,3
5086481743679802511500433144,63,,3
87515327300898348321500586754,74,,3
7102244839548296351499238157,68,,3
7102244839548296351499633815,71,,3
1201015088439517571500400616,62,,3
11520631838483160941501604458,75,,3
62368205555121186381500315689,88,,3
32627298007793299081501266640,63,,3
11932242729873313251499820507,72,,3
07400841912464122401500652524,77,,3
40020136460312389711499968030,86,,3
7530681731188067771500211919,93,,3
17175541043944940021499726711,76,,3
4656912956082772481500057068,87,,3
58888518473275967401500994177,74,,3
39830106821254561061499973743,70,,3
82660903260954980101499702590,82,,3
60022237514385446401501028795,76,,3
97079131449136873781499482506,81,,3
81070989865449476931500410019,69,,3
14143205765277456331501098751,61,,3
22399862165200500661501160914,70,,3
4571867795369803621501266404,86,,3
04377037653058494151499740317,87,,3
42735321794449556851499273894,82,,3
5164300471260435641501590904,67,,3
81070989865449476931500403650,63,,3
29022522200590422591501279507,68,,3
18360388990392812681500402438,94,,3
05440573177183676621501544260,91,,3
92586021097782545221501083302,65,,3
64038631992246905061499560984,68,,3
99711700363545484431499287242,68,,3
93034114450653881211501023335,82,,3
45356976936602752051500999668,76,,3
83549214769410985791501090124,66,,3
51979569589047695491500519733,75,,3
8790966340532344781501594747,79,,3
89152695254705123821500403505,82,,3
92032407831849800711501444529,71,,3
11071165703414641881500609758,68,,3
99018135615136369281500252227,75,,3
14595220904466247601501633387,63,,3
97547679980663533091501632750,81,,3
82496374033552168961499528207,67,,3
37265367684723481941500661293,68,,3
76967722579045470521499383765,74,,3
64610003328727000641499843924,64,,3
64249583716641206971499455237,76,,3
81769610407640909571499350489,83,,3
8890734229512757991500529374,87,,3
61615324591546247571499285948,90,,3
169258752089395431499954800,83,,3
69515109876617605251499646256,79,,3
13010406024270128431501088948,87,,3
74066146785746721421501421700,75,,3
99717256921973346831500058964,91,,3
39826115732749288071501283899,84,,3
92491309837222282731499785863,70,,3
97283015189537339991501104290,65,,3
96416902256689624411501526999,81,,3
29526624856191213511500266210,61,,3
93039793548673291481500937166,87,,3
3652184996607787481500508520,89,,3
80450790909508370901499697373,75,,3
84174501077232698691501622317,64,,3
0285289716007403971499874018,72,,3
79750459083787069931501012637,82,,3
29709377763429812871501189999,61,,3
99747908383296024461499298589,77,,3
53007839529726405661499574920,77,,3
72125089152120220181500247134,78,,3
35055699608678738481499823165,92,,3
18323063642886286931499995406,90,,3
27700096750257984791500089542,66,,3
76188709903350062641501256293,94,,3
39279884920390098741499275973,93,,3
43657196846485212741500398096,75,,3
0827012720777338151500212519,74,,3
92279105513493566651499960286,96,,3
47929221079327372131499290447,66,,3
51718546762456650351499450766,97,,3
2104806823164145471499976502,88,,3
76999515136173511951501222983,86,,3
4449886059609281691500473887,65,,3
0231559941382295631501456698,81,,3
84335925264195372671500062328,63,,3
63627527122608258581500819629,80,,3
33847522652231425191500059358,80,,3
63256706863796056101499891368,70,,3
73546990189036083921499963858,75,,3
42544838755857920561501003276,86,,3
41570660311343024191500135318,89,,3
23313368105197113651500913403,90,,3
46636241180076820211500325861,68,,3
41980385861462042441501016556,72,,3
68666613788417002251499724521,74,,3
53871159911686841161501602245,78,,3
70333709265902525791499386810,61,,3
51683733129403177531500075913,84,,3
82997926905117906401501281389,62,,3
00847201969417204971500911617,93,,3
70670869857120104781499800190,87,,3
27967750504695515091499820158,68,,3
01235827587991406191499923824,67,,3
76999515136173511951501460368,92,,3
57656730345026065021500344411,63,,3
60281254594023426821501603251,81,,3
20541016893071580971499975987,75,,3
57966431775699603431500516690,66,,3
7723150293173736731499710357,69,,3
15789831420022660441499703037,76,,3
88133438800375543061500849939,61,,3
60802713185272592951499894903,85,,3
32672310736350914621500323315,78,,3
20422736413907306581500126385,80,,3
43022470634388636391500525897,73,,3
90169143341633151491501649734,64,,3
50940640068163627111501520918,61,,3
27075870720906137201501114941,80,,3
94282726586441371641499490225,65,,3
37265367684723481941501365600,84,,3
62368205555121186381501612135,89,,3
20407401561256999791501520327,67,,3
40570047173767202881500156806,77,,3
54667063737120017501501194125,66,,3
2211967312254768141500736465,67,,3
22008729694655019861501525463,82,,3
76557889315070839631500993464,72,,3
78373151545328726151499289043,80,,3
1505236384295394131501189676,78,,3
84162341265449623881499211319,75,,3
53395311805233653021501102726,65,,3
15575066404584769371499826386,66,,3
79543673933998269001499273949,68,,3
82643103681563965681501546845,86,,3
36045500320928310811501015558,67,,3
53523459112320219681500528762,78,,3
43657196846485212741500561353,75,,3
27297996254825903321500407319,63,,3
72590031132146620191500589718,69,,3
50987541298444311631500624372,89,,3
75805725917988177941499483112,84,,3
0993438698296579491499783878,80,,3
71464197294079700761500568811,79,,3
01075953151705707801501630699,64,,3
44444887274360208141500062246,69,,3
86481711296378177321500301749,90,,3
66212030870650592331499182681,87,,3
10255991294783912181501110597,95,,3
5595794841996777101501090214,66,,3
08416324753669000001499718250,75,,3
30790565307341189101499705638,90,,3
75497595198373372181500932700,69,,3
4743040806414384951499374483,72,,3
10304514431487243091501617504,86,,3
26792786281643490681501092446,74,,3
42189268437603202301500941474,73,,3
85401996009906329101499535002,79,,3
51438328530008809671499971577,74,,3
96416902256689624411501603306,82,,3
25815283364598946071500321851,92,,3
45833744570808035731501611067,67,,3
55220208332271090361501024293,67,,3
0739995180564456801500218821,81,,3
50987541298444311631500655294,70,,3
92490761827251499391499582093,83,,3
16680773266003054321499377386,75,,3
5902081276440430481500406862,92,,3
05188903932318511751500318755,90,,3
85368872043786527721501281842,66,,3
71963767833782990441499969779,62,,3
35925507987213987891501033613,69,,3
4360592913352698481499876059,67,,3
67053002835858921731500919762,65,,3
11989375766121383521501005313,81,,3
